204	circulatory	adjective	the circulatory system
206	durable	adjective	Painted steel is likely to be less durable (enduring) than other kinds.
209	fleeting	adjective	We paid a fleeting (brief) visit to Paris.
211	declarative	adjective	Sleep is important for declarative (declaratory) memory.
212	procedural	adjective	procedural rules
221	poised	adjective	He is a remarkably poised (assured) young man.
222	poised	adjective	Tina was tense, her hand poised over the telephone. | The cup was poised on the edge of the chair. | The economy is poised for recovery.
230	microscopic	adjective	The problems could be caused by microscopic (very little) organisms called blue-green algae. | a microscopic (very little) analysis/examination
232	inflammatory	adjective	inflammatory (provocative) remarks | The treatment can reverse the harmful inflammatory (provocative) process that causes rheumatoid arthritis.
242	potential	adjective, noun	We have compiled a list of 10 potential (possible) candidates.
245	adequate	adjective	They'll need an adequate (suitable) supply of hot water.
246	robust	adjective	She was almost 90, but still very robust (hale). | a robust (hale) piece of equipment | robust (hale) economic growth | The company is taking a more robust (hale) approach to management.
256	impulsive	adjective	He has an impulsive (impetuous) nature.
257	unequivocal	adjective	The answer was an unequivocal (unambiguous) ‘no’.
262	collective	adjective	collective (unified) memory (= things that a group of people or a community know or remember, that are often passed from parents to children) | The collective (unified) name for mast, boom and sails on a boat is the ‘rig’.
264	biological	adjective	the biological (biologic) sciences | the biological (biologic) effects of radiation | a child’s biological (biologic) parents (= natural parents, not the people who adopted him) | biological (biologic) and non-biological (biologic) powders
265	characteristic	adjective, noun	Community support of families is characteristic (typical) of many societies.
266	physiological	adjective	physiological (organic) research | the physiological (organic) effect of space travel
267	admissible	adjective	Photographs are usually admissible (capable of being admitted) evidence provided it can be proved that they are authentic.
269	subconscious	adjective	Many advertisements work at a subconscious (subliminal) level.
272	convoluted	adjective	I had to negotiate an amazingly convoluted (complicated) one-way system. | a convoluted (complicated) coastline
278	hypothetical	adjective	I wasn't asking about anybody in particular—it was a purely hypothetical (supposed) question.
279	unfiltered	adjective	unfiltered apple juice
282	unfounded	adjective	Speculation about a divorce proved totally unfounded (baseless).
283	ineffective	adjective	The new drug was ineffective (of little use).
284	simultaneously	adverb	The game will be broadcast simultaneously (meanwhile) on TV and radio.
286	proficient	adjective	I'm a reasonably proficient (skilled) driver.
290	apparent	adjective	Then, for no apparent (obvious) reason, the train suddenly stopped. | My parents were concerned at my apparent (obvious) lack of enthusiasm for school.
