115	paradox	noun	He was a paradox (self-contradiction)—a loner who loved to chat to strangers.
125	venture	noun, verb	A disastrous business venture lost him thousands of dollars.
133	consciousness	noun	I can't remember any more—I must have lost consciousness (awareness). | The words slowly entered her consciousness (awareness). | her newly developed political consciousness (awareness)
134	genocide	noun	Refugees gave accounts of the mass genocide (race murder).
135	component	noun	Nitrogen is the main component (part) of air.
137	immortality	noun	He is well on his way to show business immortality (eternity).
138	embryo	noun	the current debate over cloning human embryos (egg)
139	embryo	noun	the embryo (egg) of an idea | The idea already existed in embryo (egg) in his earlier novels.
143	projection	noun	Sales have exceeded our projections (estimate). | the projection (estimate) of three-dimensional images on a computer screen | map projections (estimate) | tiny projections (estimate) on the cell | voice projection (estimate) | Sales have exceeded our projections (estimate). | The idea of God is a projection (estimate) of humans' need to have something greater than themselves.
144	inhabitant	noun	It is a town of about 10 000 inhabitants (resident).
146	synapse	noun	Information from one neuron flows to another neuron across a synapse.
152	barrier	noun	The crowd had to stand behind barriers. | Scan your ticket at the barrier and it will automatically lift. | Lack of confidence is a psychological barrier to success. | The Yangtze River is a natural barrier to the north-east. | the first player whose earnings passed the $10 million barrier
159	concept	noun	the concept (idea) of social class | an exciting new concept (idea) in city living
162	glitch	noun	A few technical glitches (bug) forced us to postpone the demonstration. | Their style embraces everything from hip hop and funk to techno and glitch (bug).
163	estimates	noun	I can give you a rough estimate of the amount of wood you will need. (appraisal) | I asked a couple of local builders for estimates (appraisal).
165	inception	noun	The club has grown rapidly since its inception (beginning) in 2007.
168	consensus	noun	She is skilled at achieving consensus (general agreement) on sensitive issues.
171	hypothesis	noun	There is little evidence to support these hypotheses. (theory)
172	hypothesis	noun	It would be pointless to engage in hypothesis (theory) before we have the facts.
177	audition	noun	Auditions (try out) will be held from 9–12 on Friday.
178	introspection	noun	These situations are best resolved with the minimum of introspection (self-analysis) or self-analysis.
180	authenticity	noun	The authenticity (validity) of the letter is beyond doubt.
182	burnout	noun	We have found there is much more burnout and sickness among those who don't get help.
183	burnout	noun	We have found there is much more burnout and sickness among those who don't get help.
185	spectacle	noun	a spectacle case (= to put your spectacles in) | The carnival parade was a magnificent spectacle. | The sunset was a stunning spectacle. | I remember the sad spectacle of her standing in her wedding dress, covered in mud. | The carnival parade was a magnificent spectacle.
188	devoid	noun	The letter was devoid (lacking) of warmth and feeling.
189	sterile	noun	Dilute the stock solution to 2.5% with sterile (clean) water. | Dilute the stock solution to 2.5% with sterile (clean) water. | We need to focus on solving the problem rather than continuing the sterile (clean) debate on how it came about. | The room felt cold and sterile (clean). | Dilute the stock solution to 2.5% with sterile (clean) water.
190	carrying capacity	noun	In some areas, deer populations have exceeded their carrying capacity on available habitat.
191	discipline	noun	The school has a reputation for high standards of discipline (training). | Yoga is a good discipline (training) for learning to relax. | He'll never get anywhere working for himself—he's got no discipline (training).
192	discipline	noun	The new recruits were drawn from a range of academic disciplines (training).
194	self-preservation	noun	She was held back by some sense of self-preservation.
197	intimacy	noun	She isn't capable of real intimacy.
198	intimacy	noun	The room had a peaceful sense of intimacy (closeness) about it. | The room had a peaceful sense of intimacy (closeness) about it. | She isn't capable of real intimacy (closeness).
200	congruence	noun	Note the lack of congruence (compatibility) between the two trees.
201	congruence	noun	The results show quite good congruence (compatibility) with recent studies.
203	restructuring	noun	The company is undergoing a major restructuring (shakeup).
205	harbor	noun	They were accused of harboring (give refuge to) a fugitive.
207	phenomenon	noun	Globalization is a phenomenon (occurrence) of the 21st century.
208	phenomenon	noun	This young pianist is a phenomenon (occurrence).
213	retention	noun	The company needs to improve its training and retention of staff. | Eating too much salt can cause fluid retention. | Visual material aids the retention of information.
214	impulse	noun	He had a sudden impulse to stand up and sing. | The impulse is conducted along the length of the wire. | He was motivated by the impulse for social reform.
215	redistribution	noun	the redistribution (shakeup) of wealth
216	neglect	noun, verb	The buildings are crumbling from years of neglect (disregard).
218	slumber	noun	She fell into a deep and peaceful slumber (sleep).
225	tension	noun	There is mounting tension (stretching) along the border. | There is often a tension (stretching) between the aims of the company and the wishes of the employees. | We laughed and that helped ease the tension (stretching). | As the movie progresses the tension (stretching) builds.
226	tension	noun	Adjust the string tension (stretching) of your tennis racket to suit your style of playing.
228	contract	noun	All employees have a written contract (agreement) of employment.
229	contract	noun	She took out a contract (agreement) on her ex-husband.
233	ideal	noun	He was accused of betraying his political ideals (perfect). | It's my ideal (perfect) of what a family home should be.
234	resistance	noun	As with all new ideas it met with resistance. | There were a number of episodes of armed resistance during the early years of occupation. | AIDS lowers the body's resistance to infection. | AIDS lowers the body's resistance to infection.
235	resistance	noun	wind resistance (opposition) (= in the design of planes or cars) | There were a number of episodes of armed resistance (opposition) during the early years of occupation. | The Resistance (opposition) was not going to surrender.
239	atrophy	noun	The cultural life of the country will sink into atrophy (wasting away) unless more writers and artists emerge.
240	mechanism	noun	The mechanism for locking the door of the washing machine is childproof.
241	mechanism	noun	The college has established an effective student support mechanism. | the balance mechanism in the ears
247	consolidation	noun	the consolidation (unity) of power
248	consolidation	noun	the consolidation of Japan’s banking industry
249	epidemic	noun	An epidemic (outbreak) of measles broke out, and over 200 children died. | A recent report describes an epidemic (outbreak) of crime in the inner cities.
250	deprivation	noun	children living in poverty and deprivation (deprival)
254	relay	noun	I relayed (transmit) the news to the others.
260	moodiness	noun	a teenager's moodiness (depression) | His accent adds some moodiness (depression) to his songs.
261	adolescence	noun	Adolescence (puberty) brings about major changes in a young person’s body.
263	deficit	noun	The trade balance has been in deficit (shortage) for the past five years. | There's a deficit (shortage) of $3 million in the total needed to complete the project.
268	reasoning	noun	What is the reasoning (ratiocination) behind this decision?
273	paternity	noun	He refused to admit paternity of the child.
276	deception	noun	He was accused of obtaining property by deception (deceit).
277	deception	noun	The whole episode had been a cruel deception (deceit).
285	allegation	noun	Several news reports made allegations (accusation) of corruption within the police force.
287	assumption	noun	We need to challenge some of the basic assumptions (belief) of Western philosophy.
288	assumption	noun	the assumption (belief) of responsibility by the government for the disaster
293	acquisition	noun	theories of child language acquisition (purchase) | His latest acquisition (purchase) is a racehorse. | They have made acquisitions (purchase) in several EU countries.
299	handicap	noun	She was born with what was then called a handicap. | He plays off a handicap of 5.
300	handicap	noun	Not speaking the language proved to be a bigger handicap than I'd imagined. | Handicaps give people with different abilities an equal chance of winning.
301	onset	noun	the onset (start) of disease/old age/winter
304	exhibit	noun, verb	The museum contains some interesting exhibits (display) on Spanish rural life. | The new exhibit (display) will tour a dozen US cities next year. | She refused to allow the exhibit (display) of her husband's work.
305	exhibit	noun, verb	The first exhibit (display) was a knife which the prosecution claimed was the murder weapon.
307	bias	noun	Employers must consider all candidates impartially and without bias. | The course has a strong practical bias. | The skirt is cut on the bias.
308	bias	noun	If a response rate is low, the risk of bias in the findings will be greater.
310	trigger	noun	He kept his finger on the trigger (start). | The trigger (start) for the strike was the closure of yet another factory.
315	scoliosis	noun	researchers have linked poor posture to scoliosis tension headaches and back pain..."
320	proportions	noun	Water covers a large proportion of the earth's surface. (ratio) | The proportion of men to women in the college has changed dramatically over the years. (ratio)
321	proportions	noun	You haven't drawn the figures in the foreground in proportion. (ratio) | This method divides the task into more manageable proportions (ratio).
322	proportions	noun	The proportion of men to women in the college has changed dramatically over the years. (ratio) | The problem of hooliganism should be kept in proportion. (ratio) | They earn salaries out of all proportion to their ability. (ratio)
330	sabotage	noun	Police investigating the train derailment have not ruled out sabotage.
331	sabotage	noun	They moved quickly to prevent further sabotage of their investigation.
332	thermodynamics	noun	the laws of thermodynamics
334	anecdote	noun	The book is a rich store of anecdote.
335	anecdote	noun	This research is based on anecdote, not fact.
338	ligaments	noun	I've torn a ligament. (ligament)
339	longevity	noun	We wish you both health and longevity (survival).
340	inflammation	noun	The doctor's notes recorded inflammation (puff) of the ear.
341	harvest	noun, verb	Farmers are extremely busy during the harvest (gather). | The appeal produced a rich harvest (gather) of blankets, medicines and clothing. | The appeal produced a rich harvest (gather) of blankets, medicines and clothing.
351	imbalance	noun	Attempts are being made to redress (= put right) the imbalance between our import and export figures.
355	inconvenience	noun	We apologize for the delay and regret any inconvenience (nuisance) it may have caused. | I can put up with minor inconveniences (nuisance).
356	vertebrae	noun	...all 33 vertebrae (backbone) should appear stacked in a straight line..."
358	sanctuary	noun	The island was declared a wildlife sanctuary (refuge) in 1969.
359	sanctuary	noun	Women were forbidden to enter the sanctuary (refuge).
360	sanctuary	noun	The government offered sanctuary (refuge) to 4 000 refugees. | The church became a sanctuary (refuge) for the refugees.
361	accumulation	noun	the accumulation (buildup) of wealth | an accumulation (buildup) of toxic chemicals
362	receptor	noun	In fact caffeine works by blocking adenosine's receptor Pathways.
367	sanity	noun	His behaviour was so strange that I began to question his sanity (mental health). | After a series of road accidents the police pleaded for sanity (mental health) among drivers.
369	vessel	noun	to burst/rupture a blood vessel | ocean-going vessels | a Bronze Age drinking vessel
376	perception	noun	There is a general public perception (discernment) that standards in schools are falling.
377	perception	noun	Everyone's perception (discernment) of reality is slightly different. | She showed great perception (discernment) in her assessment of the family situation.
379	incompetence	noun	He was dismissed for incompetence (inadequacy).
382	pathways	noun	They came out of the woods and onto a pathway. (nerve pathway) | We help students define and develop a clear career pathway. (nerve pathway)
383	pathways	noun	neural pathways (nerve pathway)
384	dread	noun	The prospect of growing old fills me with dread (fear).
385	dread	noun	This was the moment he had been dreading (fear).
386	misconception	noun	Let me deal with some common misconceptions (misapprehension).
387	apathy	noun	There is widespread apathy (indifference) among the electorate.
392	ailment	noun	I got all the usual childhood ailments (disorder).
394	insecurity	noun	We all have our fears and insecurities (lack of assurance).
395	insecurity	noun	the insecurity (lack of assurance) of wireless networks
398	anxiety	noun	Some hospital patients experience high levels of anxiety (uneasiness). | Some people are feeling the pressure and suffering from anxiety (uneasiness) and depression. | If you're worried about your health, share your anxieties (uneasiness) with your doctor.
399	anxiety	noun	A couple of photographers fell over themselves in their anxiety (uneasiness) to get a shot of her.
402	foraging	noun	forage crops (forage)
406	outsourcing	noun	the outsourcing (outsource) of IT work to private contractors
