#separator:tab
#html:true
#guid column:1
#notetype column:2
#deck column:3
#tags column:16
z*XS[(GsLb	English Academic Vocabulary Model	English Academic Vocabulary::TED YT	irreversible	adjective	/ˌɪr.əˈvɝː.sə.bəl/	that cannot be changed back to what it was before	irreversible (hopeless) brain damage (= that will not improve)			[sound:cambridge_uk_irreversible.mp3]	[sound:cambridge_us_irreversible.mp3]	Oxford	Oxford	B1	Audio::Cambridge CEFR::B1 Source::Oxford
MY,p$I;5y6	English Academic Vocabulary Model	English Academic Vocabulary::TED YT	majority	noun	/məˈdʒɔːr.ə.t̬i/	the largest part of a group of people or things | the number of votes by which one political party wins an election; the number of votes by which one side in a discussion, etc. wins | the difference between the number of votes given to the candidate who wins the election and the total number of votes of all the other candidates	The majority of people interviewed prefer TV to radio. | She was elected by a majority of 749. | Without this shift, Kerry would have had a popular majority of a million votes.			[sound:cambridge_uk_majority.mp3]	[sound:cambridge_us_majority.mp3]	Oxford	Oxford	B2	Audio::Cambridge CEFR::B2 OPAL_W Oxford_3000 Source::Oxford
"B4_S;m#,&m"	English Academic Vocabulary Model	English Academic Vocabulary::TED YT	contagious	adjective	/kənˈteɪ.dʒəs/	if a person is contagious, they have a disease that can be spread by close contact with other people	Scarlet fever is highly contagious (catching).	be contagious|prove contagious|highly contagious|very contagious		[sound:cambridge_uk_contagious.mp3]	[sound:cambridge_us_contagious.mp3]	Oxford	Oxford	C1	Audio::Cambridge CEFR::C1 Source::Oxford
&8XQ)H!{W	English Academic Vocabulary Model	English Academic Vocabulary::TED YT	countermeasures	noun	/ˈkaʊn.t̬ɚˌmeʒ.ɚz/	a course of action taken to protect against sth that is considered bad or dangerous	countermeasures (countermeasure) to neutralize the threat of terrorism			[sound:cambridge_uk_countermeasures.mp3]	[sound:cambridge_us_countermeasures.mp3]	Oxford	Oxford	C1	Audio::Cambridge CEFR::C1 Source::Oxford
uT)&WKC.A?	English Academic Vocabulary Model	English Academic Vocabulary::TED YT	equipment	noun	/ɪˈkwɪp.mənt/	the things that are needed for a particular purpose or activity | the process of providing a place or person with necessary things	Take care when using old electrical equipment (apparatus). | The equipment of the photographic studio was expensive.	the latest equipment|modern equipment|state-of-the-art equipment|up-to-date equipment	equip (v)	[sound:cambridge_uk_equipment.mp3]	[sound:cambridge_us_equipment.mp3]	Cambridge	Oxford	A2	Audio::Cambridge CEFR::UNCLASSIFIED Oxford_3000 Source::Oxford CEFR::A2
w_0qU|$!&h	English Academic Vocabulary Model	English Academic Vocabulary::TED YT	trivial	adjective	/ˈtrɪv.i.əl/	not important or serious; not worth considering	I know it sounds trivial (trifling), but I'm worried about it.	appear trivial|be trivial|look trivial|seem trivial		[sound:cambridge_uk_trivial.mp3]	[sound:cambridge_us_trivial.mp3]	Oxford	Oxford	B1	Audio::Cambridge CEFR::B1 Source::Oxford
"w-ZKJx-Z#m"	English Academic Vocabulary Model	English Academic Vocabulary::Oxford	frustrating	adjective	/frʌsˈtreɪ.tɪŋ/	causing you to feel annoyed and impatient because you cannot do or achieve what you want	It's frustrating to have to wait so long.			[sound:cambridge_uk_frustrating.mp3]	[sound:cambridge_us_frustrating.mp3]	Oxford	Oxford	C1	Audio::Cambridge CEFR::C1 Oxford_5000 Source::Oxford
k0@<^HWD8M	English Academic Vocabulary Model	English Academic Vocabulary::TED YT	unfairness	noun	/ʌnˈfeə.nəs/	the fact of not being right or fair according to a set of rules or principles; the fact of not treating people equally	She was outraged at the unfairness (injustice) of it all.			[sound:cambridge_uk_unfairness.mp3]	[sound:cambridge_us_unfairness.mp3]	Oxford	Oxford	B1	Audio::Cambridge CEFR::B1 Source::Oxford
"p;,s}#k~R^"	English Academic Vocabulary Model	English Academic Vocabulary::TED YT	disconnected	verb	/ˌdɪs.kəˈnek.tɪd/	to separate sth from sth | to remove sb's connection to a piece of equipment, especially a life support machine	The ski had become disconnected (confused) from the boot. | It was the family's decision to disconnect her from the life support machine. (confused)			[sound:cambridge_uk_disconnected.mp3]	[sound:cambridge_us_disconnected.mp3]	Oxford	Oxford	B1	Audio::Cambridge CEFR::B1 Source::Oxford
N-$5)wo+8<	English Academic Vocabulary Model	English Academic Vocabulary::TED YT	pervasive	noun	/pəˈveɪ.sɪv/	existing in all parts of a place or thing; spreading gradually to affect all parts of a place or thing	Her influence is all-pervasive (pervading) (= it affects everyone and everything).	be pervasive|prove pervasive|become pervasive|remain pervasive		[sound:cambridge_uk_pervasive.mp3]	[sound:cambridge_us_pervasive.mp3]	Oxford	Oxford	B1	Audio::Cambridge CEFR::B1 Source::Oxford
P3iu!%9gF{	English Academic Vocabulary Model	English Academic Vocabulary::TED YT	narrative	noun	/ˈnær.ə.tɪvz/	[formal] stories or descriptions of a series of events.	The film lacks a coherent, compelling narrative (story).	popular narrative|coherent narrative|simple narrative|straightforward narrative		[sound:cambridge_uk_narratives.mp3]	[sound:cambridge_us_narratives.mp3]	Cambridge	Oxford	B1	Audio::Cambridge CEFR::UNCLASSIFIED Oxford_3000 Source::Oxford CEFR::B1
jWb,-wZ!d%	English Academic Vocabulary Model	English Academic Vocabulary::TED YT	subjective	noun	/səbˈdʒek.tɪv/	existing in sb’s mind rather than in the outside world | the subjective case is the one which is used for the subject of a sentence	Everyone's opinion is bound to be subjective (personal). | Everyone's opinion is bound to be subjective (personal).	be subjective|seem subjective|highly subjective|very painted from a highly subjective subjective		[sound:cambridge_uk_subjective.mp3]	[sound:cambridge_us_subjective.mp3]	Oxford	Oxford	B2	Audio::Cambridge CEFR::B2 OPAL_W Source::Oxford
"D#.J*hAq*`"	English Academic Vocabulary Model	English Academic Vocabulary::TED YT	evolved	verb	/ɪˈvɒlvd/	to develop gradually, especially from a simple to a more complicated form; to develop sth in this way | [biology] to develop over time, often many generations, into forms that are better adapted to survive changes in their environment	The idea evolved (derivative) from a drawing I discovered in the attic. | The three species evolved (derivative) from a single ancestor.	gradually evolved|slowly evolved|rapidly evolved|eventually thetheory which eventuallyevolvedfrom thisstudy evolved	evolve (v)	[sound:cambridge_uk_evolved.mp3]	[sound:cambridge_us_evolved.mp3]	Oxford	Oxford	B1	Audio::Cambridge CEFR::B1 OPAL_W Source::Oxford
q*j@4OyX)X	English Academic Vocabulary Model	English Academic Vocabulary::Oxford	complexity	noun	/kəmˈplek.sə.ti/	the state of being formed of many parts; the state of being difficult to understand | the features of a problem or situation that are difficult to understand	the increasing complexity of modern telecommunication systems | the complexities of the system			[sound:cambridge_uk_complexity.mp3]	[sound:cambridge_us_complexity.mp3]	Oxford	Oxford	C1	Audio::Cambridge CEFR::C1 OPAL_W Oxford_5000 Source::Oxford
l4}|Y-D$1I	English Academic Vocabulary Model	English Academic Vocabulary::TED YT	destined	verb	/ˈdes.tɪnd/	[formal] having a future that has been decided or planned at an earlier time, especially by fate | [formal] on the way to or intended for a place	He was destined (bound) for a military career, like his father before him. | goods destined (bound) for Poland			[sound:cambridge_uk_destined.mp3]	[sound:cambridge_us_destined.mp3]	Oxford	Oxford	B1	Audio::Cambridge CEFR::B1 Source::Oxford
iwe/z3s.)i	English Academic Vocabulary Model	English Academic Vocabulary::TED YT	mundane	noun	/mʌnˈdeɪn/	not interesting or exciting	I lead a pretty mundane (dull) existence.	be mundane|seem mundane|sound mundane|become mundane		[sound:cambridge_uk_mundane.mp3]	[sound:cambridge_us_mundane.mp3]	Oxford	Oxford	B1	Audio::Cambridge CEFR::B1 Source::Oxford
ILSL.bd&W@	English Academic Vocabulary Model	English Academic Vocabulary::TED YT	majestic	adjective	/məˈdʒes.tɪk/	impressive because of size or beauty	The Rockies are majestic (awe-inspiring) in size.			[sound:cambridge_uk_majestic.mp3]	[sound:cambridge_us_majestic.mp3]	Oxford	Oxford	B1	Audio::Cambridge CEFR::B1 Source::Oxford
