#separator:tab
#html:true
catalogue		noun	C1	Oxford_5000	a complete list of items, for example of things that people can look at or buy | a long series of things that happen (usually bad things)	to consult the library catalogue | a catalogue of disasters/errors/misfortunes				catalog | catalog	[sound:cambridge_uk_catalogue.mp3]	[sound:cambridge_us_catalogue.mp3]
catch		verb	A2	Oxford_3000 British_English informal especially_North_American_English old-fashioned saying Sports:_ball_and_racket_sports Transport_by_bus_and_train Transport_by_air Crime_and_punishment Health_problems Feelings	to stop and hold a moving object or person, especially in your hands | to hold a liquid when it falls | to take hold of somebody/something | to be in time for a bus, train, plane, etc. and get on it | to capture a person or an animal that tries or would try to escape | to get an illness | if something catches your attention, etc., you notice it and feel interested in it | to notice something only for a moment | to hear or understand something | to find or discover somebody doing something, especially something wrong | to be in time to do something, talk to somebody, etc. | to see or hear something; to attend something | to happen unexpectedly and put somebody in a difficult situation | to become stuck in or on something; to make something become stuck | to hit somebody/something | to begin to burn | if something catches the light or the light catches it, the light shines on it and makes it shine too | if you catch the sun , you become red or brown because of spending time in the sun | to show or describe something accurately | to make a player unable to continue batting by catching the ball they have hit before it touches the ground	She managed to catch the keys as they fell. | The roof was leaking and I had to use a bucket to catch the drips. | He caught hold of her arm as she tried to push past him. | to catch a bus/train/flight | The murderer was never caught. | It is unusual to catch measles more than once. | A sign on the wall caught my attention . | She caught sight of a car in the distance. | Sorry, I didn't quite catch what you said. | I caught her lying to me again. | I caught him just as he was leaving the building. | Let's eat now and maybe we could catch a movie later. | His arrival caught me by surprise . | Her dress caught on a nail. | The stone caught him on the side of the head. | The wooden rafters caught fire . | The knife gleamed as it caught the light . |  | The artist has caught her smile perfectly. | 	be/get caught in the middle : to be involved in an argument or fight between two other people or groups ; When they quarrel, I am often caught in the middle. | be caught short : to suddenly feel a strong need to go to the toilet | be caught short : to be put at a disadvantage | be (caught) in a cleft stick : to be in a difficult situation when any action you take will have bad results | (caught/stuck) between a rock and a hard place : in a situation where you have to choose between two things, both of which are unpleasant | catch your breath : to stop breathing for a moment because of fear, shock, etc. ; When he said he had resigned, I caught my breath in surprise. | catch your breath : to start to be able to breathe normally again after running or doing exercise that makes you tired | catch a cold : to become ill with a cold | catch a cold : to have problems ; The film caught a cold over the outstanding debt. | catch your death (of cold) : to catch a very bad cold | catch somebody’s eye : to attract somebody’s attention ; Can you catch the waiter's eye? | catch/take somebody’s fancy : to attract or please somebody ; She looked through the hotel advertisements until one of them caught her fancy. | catch it : to be punished or spoken to angrily about something ; If your dad finds out you'll really catch it! | catch somebody napping : to get an advantage over somebody by doing something when they are not expecting it and not ready for it | catch somebody on the hop : to surprise somebody by doing something when they are not expecting it and not ready for it | catch/touch somebody on the raw : to upset somebody by reminding them of something they are particularly sensitive about | catch somebody red-handed : to catch somebody in the act of doing something wrong or committing a crime | catch somebody with their pants down : to arrive or do something when somebody is not expecting it and not ready, especially when they are in an embarrassing situation | the early bird catches the worm : the person who takes the opportunity to do something before other people will have an advantage over them | (catch/throw somebody) off balance : to make somebody unsteady and in danger of falling ; I was thrown off balance by the sudden gust of wind. ; The sudden movement threw him off balance. | (catch/throw somebody) off balance : to make somebody surprised and no longer calm ; The senator was clearly caught off balance by the unexpected question. | (put/catch somebody) on the back foot : (to put somebody) at a disadvantage or in difficulty ; Advances in drone technology have caught lawmakers on the back foot. ; The side that’s on the back foot, struggling to defend, will usually give away more penalties. ; We'd like to put the fossil fuel industry on the back foot.					
category		noun	B1	Oxford_3000 OPAL_written AWL	a group of people or things with particular features in common	These are the nominees from each category.					[sound:cambridge_uk_category.mp3]	[sound:cambridge_us_category.mp3]
cater		verb	C1	Oxford_5000 British_English British_and_North_American_English	to provide food and drinks for a social event	Most of our work now involves catering for weddings.				humor	[sound:cambridge_uk_cater.mp3]	[sound:cambridge_us_cater.mp3]
cattle		noun	C1	Oxford_5000 North_American_English Animals	cows and bulls that are kept as farm animals for their milk or meat	a herd of cattle				livestock	[sound:cambridge_uk_cattle.mp3]	[sound:cambridge_us_cattle.mp3]
cause		noun	A2	Oxford_3000 OPAL_written law formal Change,_cause_and_effect	the person or thing that makes something happen | a reason for having particular feelings or behaving in a particular way | an organization or idea that people support or fight for | a case that goes to court	Unemployment is a major cause of poverty. | There is no cause for concern . | Animal welfare campaigners raised £70 000 for their cause last year. | 	be for/in a good cause : worth doing, because it is helping other people ; Oh well, it's all for a good cause. ; The function took a lot of organizing, but was all for/in a good cause. | in the cause of something : in order to support or defend something ; He gave his life in the cause of freedom. | make common cause with somebody : to be united with somebody about something that you both agree on, believe in or wish to achieve					
caution		noun	C1	Oxford_5000 British_English formal Personal_qualities Crime_and_punishment Danger	care that you take in order to avoid danger or mistakes; the fact of not taking any risks | a warning that is given by the police to somebody who has committed a crime that is not too serious | a warning or a piece of advice about a possible danger or risk	extreme/great caution | As a first offender, she got off with a caution. | a word/note of caution	throw/cast caution to the wind(s) : to stop caring about how dangerous something might be; to start taking risks ; He threw caution to the wind and dived into the water after the child.			care | care | care | care	[sound:cambridge_uk_caution.mp3]	[sound:cambridge_us_caution.mp3]
cautious		adjective	C1	Oxford_5000 Personal_qualities	being careful about what you say or do, especially to avoid danger or mistakes; not taking any risks	The government has been cautious in its response to the report.				careful	[sound:cambridge_uk_cautious.mp3]	[sound:cambridge_us_cautious.mp3]
cave		noun	B2	Oxford_5000 Geography	a large hole in the side of a hill or cliff or under the ground	the mouth (= the entrance) of the cave				underground chamber	[sound:cambridge_uk_cave.mp3]	[sound:cambridge_us_cave.mp3]
cd		noun	A1	Oxford_3000 British_English especially_North_American_English Music	a small disc on which sound or information is recorded. CDs can be played or read on various types of machines, including CD players and computers. (the abbreviation for ‘ compact disc ’ )	His albums are still available on CD too.						
